,sr,as1,as2,as3,as4,as5,qz1,qz2,qz3,qz4,qz5,qz6,qz7,s_i,s_ii,final
0,1,0.6192307692307693,0.8642857142857143,0.8166666666666667,0.81,0.49166666666666664,0.7,0.3333333333333333,0.2,0.8,0.4,0.5,0.75,0.4373333333333333,0.156,0.3573333333333333
1,2,0.5576923076923077,0.9714285714285714,0.43333333333333335,0.7,0.6708333333333333,0.5,0.4666666666666667,0.0,1.0,0.7,1.0,0.8333333333333334,0.312,0.27466666666666667,0.5348888888888889
2,3,0.8692307692307693,0.8857142857142857,0.0,0.94,0.6666666666666666,0.7,0.16666666666666666,0.1,0.1,0.2,0.2,1.0,0.23733333333333334,0.162,0.3248888888888889
3,4,0.46923076923076923,0.6214285714285714,0.0,0.44,0.725,0.3,0.3333333333333333,0.05,0.0,0.0,0.2,0.25,0.46199999999999997,0.22466666666666668,0.27999999999999997
4,5,0.8,0.9571428571428572,0.8055555555555556,0.9,1.0,1.0,0.7,1.0,1.0,0.65,1.0,0.75,0.712,0.4373333333333333,0.7473333333333334
5,6,0.0,0.7428571428571429,0.6777777777777778,0.41,0.4583333333333333,0.9,0.36666666666666664,0.15,0.0,0.8,0.8,0.25,0.262,0.1,0.3948888888888889
6,7,0.9076923076923077,0.8857142857142857,0.95,0.79,0.9083333333333333,1.0,0.5666666666666667,0.95,1.0,0.7,0.9,0.8333333333333334,0.5686666666666667,0.3433333333333334,0.7048888888888889
7,8,0.0,0.6714285714285714,0.4888888888888889,0.46,0.425,0.4,0.4,0.05,0.0,0.1,0.5,0.25,0.162,0.12466666666666668,0.13244444444444445
8,9,0.8076923076923077,0.9285714285714286,0.75,0.94,0.775,0.7,0.5666666666666667,0.0,0.1,0.1,0.4,0.75,0.35,0.606,0.5824444444444444
9,10,0.8692307692307693,0.8428571428571429,0.5722222222222222,0.66,0.55,0.9,0.13333333333333333,0.05,0.0,0.0,0.3,0.16666666666666666,0.22466666666666668,0.11866666666666667,0.2773333333333333
10,11,0.0,0.9357142857142857,0.6722222222222223,0.56,0.5166666666666667,0.5,0.43333333333333335,0.9,1.0,1.0,0.7,0.6666666666666666,0.3686666666666667,0.4373333333333333,0.6048888888888888
11,12,0.8076923076923077,0.8571428571428571,0.4388888888888889,1.0,0.6666666666666666,0.0,0.13333333333333333,0.55,0.1,0.1,0.3,0.5833333333333334,0.3873333333333333,0.156,0.4
12,13,0.7076923076923077,0.7285714285714285,0.0,0.7,0.7083333333333334,0.5,0.36666666666666664,0.15,0.1,0.1,0.4,0.08333333333333333,0.46199999999999997,0.40599999999999997,0.4748888888888889
13,14,0.9384615384615385,0.7785714285714286,0.8777777777777778,0.7,0.75,0.7,0.36666666666666664,0.0,0.1,0.1,0.9,0.3333333333333333,0.35,0.14333333333333334,0.4573333333333333
14,15,0.8384615384615385,0.0,0.8388888888888889,0.66,0.8333333333333334,0.6,0.3,0.6,0.0,0.1,0.7,0.16666666666666666,0.37466666666666665,0.12466666666666668,0.4724444444444445
15,16,0.0,0.8857142857142857,0.8777777777777778,1.0,0.7333333333333333,0.8,0.4666666666666667,0.0,1.0,0.3,0.8,0.3333333333333333,0.3873333333333333,0.35,0.6124444444444445
16,17,0.0,0.9071428571428571,0.9444444444444444,1.0,0.8,1.0,0.26666666666666666,0.4,1.0,0.3,0.8,0.3333333333333333,0.5373333333333333,0.7373333333333334,0.49244444444444446
17,18,0.8,0.0,0.0,0.99,0.7833333333333333,0.9,0.2,0.95,0.1,0.0,1.0,0.5,0.4746666666666667,0.46199999999999997,0.6524444444444444
18,19,0.7923076923076923,0.0,0.8888888888888888,1.0,0.9166666666666666,0.8,0.6,1.0,1.0,0.2,1.0,0.5,0.7373333333333334,0.4806666666666667,0.6373333333333333
19,20,0.5653846153846154,0.7642857142857142,0.7222222222222222,0.74,0.75,0.3,0.13333333333333333,0.05,0.0,0.1,0.7,0.16666666666666666,0.362,0.27466666666666667,0.4448888888888889
20,21,0.8307692307692308,0.6357142857142857,0.5555555555555556,0.87,0.6666666666666666,1.0,0.3333333333333333,0.4,0.1,0.15,0.8,0.75,0.5373333333333333,0.4246666666666667,0.45488888888888884
21,22,0.823076923076923,0.8,0.9166666666666666,0.94,0.3333333333333333,1.0,0.6,0.95,1.0,1.0,0.9,0.8333333333333334,0.7306666666666667,0.5433333333333333,0.64
22,23,0.9153846153846154,0.6,0.8,0.92,0.9,0.9,0.5333333333333333,0.15,0.05,0.3,0.7,0.6666666666666666,0.4746666666666667,0.46199999999999997,0.664888888888889
23,24,0.5769230769230769,0.0,0.0,0.3,0.725,0.5,0.4,0.1,0.0,0.2,0.5,0.5,0.312,0.05,0.13999999999999999
24,25,0.7923076923076923,0.7428571428571429,0.6666666666666666,0.42,0.5458333333333333,0.9,0.6,0.1,0.0,0.3,0.7,0.75,0.4873333333333333,0.3686666666666667,0.5873333333333334
25,26,0.4346153846153846,0.0,0.6777777777777778,0.51,0.49166666666666664,0.7,0.2,0.2,0.0,0.2,0.7,0.3333333333333333,0.3,0.33066666666666666,0.3573333333333333
26,27,0.8461538461538461,0.7642857142857142,0.7833333333333333,0.6,0.5083333333333333,0.7,0.5666666666666667,0.1,1.0,0.5,0.5,0.4166666666666667,0.3373333333333333,0.162,0.4348888888888889
27,28,0.6846153846153846,0.5714285714285714,0.3611111111111111,0.67,0.45,0.6,0.23333333333333334,0.0,0.0,0.3,0.4,0.25,0.28733333333333333,0.10600000000000001,0.4348888888888889
28,29,0.7076923076923077,1.0,0.9111111111111111,0.85,0.725,0.8,0.4666666666666667,0.3,0.0,0.8,0.8,0.25,0.29333333333333333,0.28733333333333333,0.4
29,30,0.7769230769230769,0.7071428571428572,0.0,0.95,0.7333333333333333,0.6,0.5666666666666667,0.05,0.0,0.1,0.4,0.16666666666666666,0.4373333333333333,0.19333333333333333,0.24244444444444443
30,31,0.47692307692307695,0.0,0.6333333333333333,0.6,0.725,0.0,0.6666666666666666,0.0,0.1,0.3,0.0,0.5,0.22466666666666668,0.10600000000000001,0.2773333333333333
31,32,0.6461538461538462,0.7285714285714285,0.49444444444444446,0.56,0.6666666666666666,0.4,0.4666666666666667,0.1,0.0,0.9,0.6,0.5833333333333334,0.35,0.1,0.3624444444444444
32,33,0.9615384615384616,0.8571428571428571,0.9333333333333333,0.81,0.9166666666666666,0.9,0.4,0.0,0.0,0.3,0.5,0.16666666666666666,0.5373333333333333,0.28733333333333333,0.5073333333333333
33,34,0.7461538461538462,0.0,0.5555555555555556,0.82,0.6,0.0,0.3,0.0,0.0,0.3,0.5,0.5,0.29333333333333333,0.09333333333333332,0.14488888888888887
34,1,0.8384615384615385,0.8142857142857143,0.79,0.94,0.9583333333333334,0.4,0.3333333333333333,0.1,1.0,0.2,0.0,0.5833333333333334,0.712,0.5746666666666667,0.5924444444444444
35,2,0.7692307692307693,0.8142857142857143,0.81,0.84,0.975,1.0,0.4,1.0,1.0,0.2,1.0,1.0,0.55,0.7,0.7073333333333333
36,3,0.5461538461538461,0.9714285714285714,0.92,0.94,0.725,0.6,0.26666666666666666,0.1,0.2,0.0,0.0,0.5833333333333334,0.37466666666666665,0.312,0.5073333333333333
37,4,0.7307692307692307,0.0,0.674,0.66,0.65,0.4,0.26666666666666666,0.0,0.1,0.0,0.3,0.6666666666666666,0.312,0.14333333333333334,0.3473333333333333
38,5,0.0,0.8571428571428571,0.98,0.92,0.95,0.4,0.5333333333333333,0.2,1.0,1.0,0.4,0.4166666666666667,0.35,0.6,0.5573333333333333
39,6,0.46153846153846156,0.0,0.38,0.48,0.4166666666666667,0.2,0.4666666666666667,0.1,0.2,0.0,0.3,0.5,0.35,0.25,0.3624444444444444
40,7,0.6923076923076923,0.7714285714285715,0.303,0.4,0.5166666666666667,0.8,0.3333333333333333,0.4375,0.2,0.2,0.2,0.5,0.3,0.162,0.36733333333333335
41,8,0.0,0.0,0.46,0.34,0.8833333333333333,0.4,0.3333333333333333,0.0,0.5,0.4,0.3,0.75,0.22466666666666668,0.28733333333333333,0.37244444444444447
42,9,0.0,1.0,0.71,0.48,0.625,0.4,0.3333333333333333,0.1,0.2,0.7,0.5,0.5,0.25,0.37466666666666665,0.48000000000000004
43,10,0.6307692307692307,0.8571428571428571,0.52,0.76,0.18333333333333332,0.7,0.5333333333333333,0.2,1.0,0.2,1.0,0.5,0.5559999999999999,0.4873333333333333,0.44
44,11,0.7461538461538462,0.0,0.98,0.96,0.9666666666666667,1.0,0.4,0.2,1.0,0.2,0.5,0.8333333333333334,0.8,0.612,0.5724444444444445
45,12,0.9769230769230769,0.9714285714285714,0.98,0.94,0.9833333333333333,1.0,0.6666666666666666,0.4,1.0,0.4,1.0,1.0,0.8806666666666667,0.8,0.7624444444444445
46,13,0.5846153846153846,0.42857142857142855,0.611,0.9,0.8083333333333333,0.3,0.3333333333333333,0.2,0.2,0.3,0.3,1.0,0.3186666666666667,0.27466666666666667,0.51
47,14,0.9538461538461539,0.8142857142857143,0.74,0.5,0.49166666666666664,0.4,0.3333333333333333,0.0,0.8,0.2,0.3,0.6666666666666666,0.4746666666666667,0.4873333333333333,0.37733333333333335
48,15,0.6384615384615384,0.7857142857142857,0.331,0.74,0.575,0.5,0.4666666666666667,0.0,0.2,0.4,0.3,0.4166666666666667,0.29333333333333333,0.15,0.2648888888888889
49,16,0.9,0.9142857142857143,0.98,0.9,0.825,0.2,0.3333333333333333,0.0,0.7,0.5,0.2,0.5,0.3686666666666667,0.28733333333333333,0.39
50,17,0.9538461538461539,0.9714285714285714,0.99,0.96,0.975,0.8,0.5333333333333333,0.1,1.0,1.0,0.0,1.0,0.5686666666666667,0.5873333333333334,0.6673333333333333
51,18,0.8076923076923077,0.8571428571428571,0.79,0.88,0.9083333333333333,0.8,0.3333333333333333,0.0,0.2,0.2,0.3,0.5833333333333334,0.5,0.262,0.40244444444444444
52,19,0.0,0.7428571428571429,0.82,0.66,0.7166666666666667,0.7,0.3333333333333333,0.0,0.1,0.2,0.3,1.0,0.312,0.2,0.34
54,21,0.0,0.9571428571428572,0.54,0.68,0.875,0.4,0.26666666666666666,0.2,0.0,0.7,0.0,0.5,0.5619999999999999,0.28733333333333333,0.5124444444444444
55,22,0.7230769230769231,0.8571428571428571,0.83,0.392,0.6166666666666667,0.3,0.4,0.0,0.1,0.3,0.5,0.75,0.46199999999999997,0.18066666666666667,0.4648888888888889
56,23,0.0,0.5714285714285714,0.387,0.34,0.5583333333333333,0.4,0.4,0.0,0.1,0.0,0.0,0.5,0.10600000000000001,0.18066666666666667,0.1648888888888889
57,24,0.5923076923076923,0.9285714285714286,0.37,0.68,0.6666666666666666,0.5,0.4,0.4375,0.2,0.0,0.3,0.5,0.356,0.162,0.2848888888888889
58,25,0.0,0.7142857142857143,0.56,0.66,0.7416666666666667,0.4,0.2,0.0,0.2,0.0,0.0,0.6666666666666666,0.39333333333333337,0.112,0.3848888888888889
59,26,0.0,0.8,0.254,0.28,0.725,0.4,0.2,0.0,0.0,0.4,0.5,0.5,0.062000000000000006,0.03066666666666667,0.05488888888888889
60,27,0.0,0.8857142857142857,0.82,0.7,0.9583333333333334,0.7,0.3333333333333333,0.1,0.3,0.1,0.4,1.0,0.512,0.37466666666666665,0.47733333333333333
61,28,0.0,0.8571428571428571,0.82,0.58,0.8083333333333333,1.0,0.2,0.4375,1.0,0.2,0.3,1.0,0.4746666666666667,0.23733333333333334,0.4348888888888889
62,1,0.9125,0.7285714285714285,0.6166666666666667,0.7,0.725,0.9,0.2,0.4375,0.8,0.5,0.8,0.5,0.7246666666666666,0.28933333333333333,0.375
63,2,0.84375,0.7285714285714285,0.75,0.9166666666666666,0.7375,1.0,0.45,0.7,1.0,0.7,0.6,0.25,0.7873333333333333,0.64,0.65225
64,3,0.8375,0.44,0.6666666666666666,0.0,0.725,0.7,0.2,0.8,0.4,0.4,0.5,0.5,0.262,0.01,0.05450000000000001
65,4,0.6303846153846153,0.7285714285714285,0.7295833333333333,0.3333333333333333,0.575,0.0,0.65,0.6,0.65,0.6,0.7,0.4166666666666667,0.55,0.192,0.35
66,5,0.340625,0.515,0.85,0.0,0.875,1.0,0.35,0.65,0.2,0.4,0.5,0.375,0.662,0.16933333333333334,0.24300000000000002
67,6,0.66875,0.645,0.7166666666666667,0.6166666666666667,0.625,0.85,0.7,1.0,0.6,0.95,0.7,0.2916666666666667,0.6373333333333334,0.7,0.4295
68,7,0.34375,0.69,0.5916666666666667,0.8,0.5875,0.45,0.2,0.1,0.0,0.4,0.6,0.5,0.27466666666666667,0.08,0.2225
69,8,0.90625,0.82,0.8416666666666667,0.95,0.8375,0.6,0.6,0.85,0.6,0.4,1.0,0.5,0.8746666666666666,0.4,0.5295
70,9,0.81875,0.625,0.8,0.9333333333333333,0.575,0.7,0.25,0.9,0.2,0.4,0.5,0.5,0.3,0.5,0.418
71,10,0.5375,0.74,0.5916666666666667,0.4666666666666667,0.4875,0.25,0.0,0.7,0.85,0.5,0.4,0.375,0.21200000000000002,0.146,0.1795
72,11,0.8125,0.815,0.7295833333333333,0.8,0.375,0.2,0.0,0.75,0.2,0.8,0.2,0.5,0.22466666666666668,0.026000000000000002,0.1885
73,12,0.925,0.52,0.9916666666666667,1.0,1.0,1.0,0.95,0.8,0.5,0.7,1.0,0.625,0.8373333333333334,0.84,0.609
74,13,0.8625,0.815,0.9583333333333334,1.0,0.975,0.35,0.2,0.9,0.6,0.8,0.6,0.5,0.4,0.366,0.434
75,14,0.7625,0.42,0.6916666666666667,0.0,0.0,1.0,0.0,0.6,0.85,0.9,0.7,0.375,0.3873333333333333,0.47,0.434
76,15,0.278125,0.385,0.5458333333333333,0.43333333333333335,0.0,0.25,0.0,0.35,0.4,0.6,0.6,0.08333333333333333,0.037333333333333336,0.056,0.22725
77,16,0.6303846153846153,0.7285714285714285,0.7295833333333333,0.725,0.725,0.5,0.0,0.25,0.4,0.4,0.1,0.125,0.12466666666666668,0.02,0.09075
78,17,0.66875,0.295,0.65,0.0,0.0,0.65,0.4,0.6,0.6,1.0,0.5,0.5833333333333334,0.612,0.53,0.375
79,18,0.6125,0.76,0.8916666666666667,0.9666666666666667,0.0,0.7,0.4,0.4,0.6,0.7,0.5,0.625,0.27466666666666667,0.31,0.44075
80,19,0.303125,0.69,0.625,0.8,0.95,0.55,0.2,0.4,0.6,0.2,0.6,0.2916666666666667,0.3373333333333333,0.426,0.375
81,20,0.8875,0.83,0.9416666666666667,1.0,0.95,0.7,0.45,0.4,0.5,0.9,0.5,0.3333333333333333,0.612,0.26999999999999996,0.3545
82,21,0.6625,0.87,0.8,0.0,0.0,0.75,0.35,0.55,0.2,0.6,0.3,0.3333333333333333,0.4746666666666667,0.3393333333333333,0.359
83,22,0.79375,0.0,0.8083333333333333,0.95,0.9625,0.0,0.7,0.8,0.6,1.0,0.5,0.5833333333333334,0.4246666666666667,0.35,0.384
84,23,0.7625,0.65,0.675,0.0,0.8625,0.65,0.85,0.3,0.6,0.4,0.5,0.5,0.362,0.04,0.175
85,24,0.86875,0.825,0.75,0.9666666666666667,0.95,0.7,0.1,0.9,0.6,0.9,0.7,0.5,0.45,0.49,0.46349999999999997
86,25,0.76875,0.515,0.5833333333333334,0.0,0.6875,0.7,0.25,0.4,0.6,0.9,1.0,0.3333333333333333,0.412,0.3253333333333333,0.3545
87,26,0.6375,0.8,0.9666666666666667,0.85,0.925,0.75,0.25,0.6,0.6,0.8,0.7,0.4166666666666667,0.6873333333333334,0.26999999999999996,0.34525
88,27,0.875,0.795,0.8416666666666667,0.9666666666666667,0.725,0.9,0.95,0.8,0.85,0.8,0.7,0.7083333333333334,0.6873333333333334,0.59,0.45899999999999996
89,28,0.81875,0.0,0.6333333333333333,0.6666666666666666,0.65,1.0,0.5,0.8,0.4,0.3,0.0,0.4583333333333333,0.25,0.09000000000000001,0.159
91,30,0.74375,0.535,0.725,0.7666666666666667,0.9375,0.7,0.25,0.35,0.6,0.4,0.2,0.2916666666666667,0.512,0.478,0.46125
92,31,0.58125,0.0,0.7333333333333333,0.7666666666666667,0.7,0.9,0.3333333333333333,0.15,0.5,1.0,0.8,0.3333333333333333,0.4873333333333333,0.5700000000000001,0.34525
93,32,0.80625,0.36,0.4166666666666667,0.3,0.2625,0.3,0.45,0.5,0.6,0.8,0.5,0.2916666666666667,0.23733333333333334,0.060000000000000005,0.225
94,33,0.85625,0.775,0.5833333333333334,0.7666666666666667,0.4625,0.75,0.8,0.45,0.6,0.4,0.5,0.08333333333333333,0.5246666666666667,0.31,0.259
95,34,0.8625,0.87,0.875,0.0,0.8375,1.0,0.95,0.3,0.4,0.5,0.5,0.875,0.8119999999999999,0.49,0.3295
96,35,0.89375,0.38,0.6583333333333333,0.6833333333333333,0.725,0.65,0.25,0.45,0.4,0.4,0.5,0.5,0.32466666666666666,0.22,0.1545
97,36,0.9,0.82,0.8416666666666667,0.0,0.6875,0.7,0.0,0.9,0.8,0.7,0.7,0.2916666666666667,0.5619999999999999,0.33,0.30674999999999997
98,37,0.8125,0.715,0.925,0.8,0.725,0.7,0.25,0.45,0.4,0.8,0.2,0.5,0.37466666666666665,0.030000000000000002,0.15
99,38,0.6303846153846153,0.25,0.45,0.23333333333333334,0.0,0.1,0.05,0.2,0.3,0.2,0.5,0.5,0.12466666666666668,0.030000000000000002,0.10900000000000001
100,39,0.85625,0.86,0.65,0.9,0.9125,0.0,0.0,0.55,0.85,0.7,0.4,0.2916666666666667,0.37466666666666665,0.516,0.37725
101,40,0.7625,0.63,0.6666666666666666,0.0,0.7875,0.7,0.65,0.25,0.3,0.5,0.5,0.4583333333333333,0.55,0.324,0.26125
102,41,0.84375,0.86,0.825,0.8833333333333333,0.875,0.7,0.45,0.35,0.7,0.7,0.5,0.5,0.45,0.25,0.33849999999999997
103,42,0.8,0.82,0.8833333333333333,0.85,0.9125,0.85,0.7,0.55,0.85,0.5,0.7,0.20833333333333334,0.5619999999999999,0.26,0.3135
104,43,0.55,0.785,0.8416666666666667,0.0,0.0,0.4,0.25,0.4,0.4,0.7,0.8,0.5,0.45,0.09000000000000001,0.2045
105,44,0.55625,0.83,0.7583333333333333,0.0,0.8125,0.7,0.25,0.8,0.4,0.6,0.5,0.041666666666666664,0.2,0.09000000000000001,0.09525
106,1,0.86875,0.0,0.8541666666666666,0.725,0.80625,0.15,0.85,0.4,0.65,0.4,0.45,0.3333333333333333,0.4746666666666667,0.206,0.33175
107,2,0.9875,0.9,0.9666666666666667,0.8666666666666667,0.0,0.8,0.95,0.9,0.95,0.45,0.8,0.5,0.7246666666666666,0.7200000000000001,0.518
108,3,0.425,0.79,0.0,0.7333333333333333,0.63125,0.8,0.4,0.4,0.4,0.6,0.75,0.375,0.35,0.18000000000000002,0.3225
109,4,0.975,0.805,0.7125,0.725,0.7625,0.05,0.95,0.65,0.65,0.45,0.4,0.9166666666666666,0.6746666666666666,0.73,0.4385
110,5,0.9,0.775,0.8125,0.7,0.8,0.0,0.45,0.65,0.6,0.2,0.1,0.625,0.23733333333333334,0.64,0.4225
111,6,0.9,0.68,0.8625,0.725,0.95625,0.2,0.45,1.0,0.45,0.4,0.7,0.0,0.312,0.23,0.16575
112,7,0.95,0.67,0.6083333333333333,0.7,0.9125,0.35,0.45,0.75,0.0,0.8,0.95,0.9583333333333334,0.7373333333333334,0.8,0.575
113,8,0.3875,0.74,0.7458333333333333,0.23333333333333334,0.6625,0.15,0.0,0.3,0.25,0.45,0.8,0.2916666666666667,0.25,0.3393333333333333,0.2045
114,9,0.875,0.56,0.0,0.21333333333333335,0.95,0.2,0.7,0.7,0.9,0.95,0.85,0.16666666666666666,0.512,0.6293333333333333,0.4795
115,10,0.425,0.895,0.4791666666666667,0.0,0.90625,0.75,0.75,0.7,0.2,0.65,0.65,0.375,0.8873333333333334,0.73,0.3725
116,11,0.8,0.665,0.8791666666666667,0.48333333333333334,0.0,0.05,0.95,0.4375,0.05,0.5,0.85,0.4166666666666667,0.3,0.4,0.5
117,12,0.4625,0.83,0.8166666666666667,0.925,0.98125,0.95,0.35,0.85,0.55,0.45,0.9,0.75,0.65,0.7100000000000001,0.525
118,13,0.775,0.805,0.7291666666666666,0.875,0.86875,0.35,0.5,0.65,0.6,0.4,0.2,0.4166666666666667,0.45,0.502,0.45675
